dataset_id,method_id,family,n_jobs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std
GSE3365,switchbox_tsp,R,25,0.8110153846153847,0.056163820680680855,0.8326143790849673,0.061636016021719475,0.7999321145505067,0.058320146340540384,0.6363495549668418,0.10653813230361528
GSE3365,py_tsp,python_gene_pair,25,0.8062153846153847,0.058656019295597654,0.8264379084967319,0.06413033550517416,0.7947142311322838,0.06098201524435356,0.6249258228525312,0.11298117428247173
GSE3365,py_reos,python_gene_pair,25,0.8173538461538462,0.06848245142988202,0.8258986928104575,0.08179316168611052,0.8024145983983075,0.07786104938870224,0.6295074832107412,0.15214978433817275
GSE3365,switchbox_ktsp,R,25,0.8238769230769232,0.07091973961779349,0.8255882352941177,0.07434514082335965,0.8083861590222848,0.07559953790224827,0.6375539203676587,0.14373183943155174
GSE3365,rpart_tree,R,25,0.8445538461538462,0.0662469231915502,0.8124509803921569,0.07257318573964132,0.8183687986137054,0.07507376916923914,0.6561575789272139,0.1416818676488924
GSE3365,knn_euclidean,R,25,0.8002461538461538,0.05889964051554109,0.7984640522875818,0.06957996516420503,0.7823171288952964,0.06400390737401784,0.5800015304720005,0.12936121624754365
GSE3365,rrf_ranktreeensemble,R,25,0.793723076923077,0.08236029950717312,0.73781045751634,0.10552426023525913,0.734334549027711,0.11297082009557965,0.5523764289463705,0.18508969386558868
GSE3365,majority,R,25,0.6695384615384615,0.013076923076923047,0.5,0.0,0.4009966777408638,0.004706533776301514,0.0,0.0
GSE6613,py_reos_svm,python_gene_pair,25,0.6228571428571429,0.1107590795201239,0.6214545454545455,0.11218405282387059,0.617859558019741,0.11190860668489376,0.24919331765953576,0.22932190804051414
GSE6613,py_tsp_svm,python_gene_pair,25,0.6228571428571429,0.1107590795201239,0.6214545454545455,0.11218405282387059,0.617859558019741,0.11190860668489376,0.24919331765953576,0.22932190804051414
GSE6613,pyrrm_knn5,pyrrm,25,0.6133333333333333,0.12009066869446185,0.6132727272727273,0.12015342579397205,0.6096566709206499,0.1202559008095374,0.23158096865058486,0.24462710775299254
GSE6613,ranger_rf,R,25,0.6019047619047619,0.11573159449878216,0.5990909090909091,0.11584222670340596,0.5946389441566048,0.11734976108593861,0.20525551566357234,0.23955118299893752
GSE6613,py_reos,python_gene_pair,25,0.5885714285714285,0.0868095804055576,0.5965454545454546,0.08734766353525932,0.5732299365971295,0.0931486745495728,0.21336089852118337,0.19254448462007978
GSE6613,py_tsp_rf,python_gene_pair,25,0.5923809523809525,0.11589475769061469,0.5910909090909091,0.11531696646556802,0.5871497990575255,0.11573002499274093,0.18753322108158366,0.23550821041695638
